-15,29;30,29;0,04437;0,006914;69,14;19,18;-4,182;7,5;265141;4,433;2,418;0,05069;0,01013
-13,7;30,13;0,04864;0,006487;64,87;19,71;-3,278;8,215;339626;4,814;2,401;0,04268;0,008459
-17,02;26,65;0,0604;0,006183;61,83;16,72;-7,086;4,815;712400;6,163;2,449;0,02689;0,00552
-12,58;32,87;0,04011;0,007049;70,49;21,54;-1,255;10,15;183022;3,918;2,383;0,06345;0,01234
-1,49;22,42;0,04349;0,003456;34,56;16,87;4,063;10,47;130334;3,498;1,965;0,05434;0,01053
-0,93;27,19;0,06806;0,003688;36,88;21,26;4,996;13,13;607810;5,845;2,115;0,02317;0,004358
-3,36;25,34;0,035;0,004462;44,62;18,17;3,809;10,99;75555;2,917;2,039;0,08322;0,01608
-17,64;23,98;0,05271;0,006041;60,41;14,27;-7,933;3,17;454040;5,303;2,402;0,03453;0,007222
-14,66;21,56;0,0577;0,005087;50,87;13,39;-6,487;3,45;530511;5,586;2,313;0,02898;0,006042
-5,22;20,43;0,03207;0,004064;40,64;13,9;1,31;7,605;53858;2,606;1,967;0,09491;0,01903
-14,03;28,12;0,04978;0,006188;61,88;18,18;-4,087;7,045;359499;4,906;2,382;0,04028;0,008082
-9,54;24,82;0,04805;0,004995;49,95;16,8;-1,515;7,64;263299;4,422;2,228;0,04342;0,008664
0,35;31,2;0,04258;0,004563;45,63;23,87;7,681;15,77;141951;3,599;2,098;0,05988;0,01098
-18,98;23,28;0,06522;0,005884;58,84;13,83;-9,526;2,15;920077;6,711;2,449;0,02244;0,004742
-7,83;28,84;0,06514;0,005002;50,02;20,8;0,2064;10,51;704072;6,138;2,302;0,0246;0,004753
-3,17;30,86;0,04295;0,005065;50,65;22,72;4,968;13,85;164798;3,783;2,174;0,05772;0,0108
4,99;32,95;0,05806;0,003787;37,87;26,87;11,07;18,97;333687;4,786;2,066;0,0337;0,005968
0,79;20,88;0,06869;0,002542;25,42;16,8;4,874;10,84;475306;5,385;1,917;0,0222;0,004279
-1,79;33,67;0,03777;0,005468;54,68;24,88;6,995;15,94;109195;3,298;2,168;0,0757;0,01387
-18,51;20,3;0,04471;0,00582;58,2;10,95;-9,159;0,895;260714;4,408;2,337;0,04648;0,009979
-16,54;34,91;0,06605;0,007259;72,59;23,25;-4,877;9,185;1,024E+06;6,955;2,562;0,02363;0,004625
-6,8;25,67;0,05172;0,00461;46,1;18,26;0,6066;9,435;307430;4,657;2,192;0,03831;0,007497
-11,92;34,41;0,05716;0,006644;66,44;23,74;-1,246;11,25;570061;5,721;2,45;0,0321;0,006155
-19,29;31,38;0,03597;0,008147;81,47;18,29;-6,2;6,045;151678;3,68;2,465;0,075;0,01525
-13,24;25,96;0,04629;0,005818;58,18;16,61;-3,893;6,36;269263;4,456;2,321;0,04608;0,009323
-2,64;32,17;0,04754;0,005059;50,59;24,04;5,488;14,76;230122;4,228;2,201;0,0478;0,008848
-5,89;22,67;0,03104;0,004596;45,96;15,29;1,494;8,39;52808;2,589;2,024;0,1019;0,02026
-19,81;26,17;0,05644;0,006641;66,41;15,5;-9,14;3,18;618386;5,879;2,487;0,0302;0,006311
